Industry,2021
"Agriculture, forestry and fishing","9,159.20"
Mining and quarrying,"15,567.40"
Manufacturing,"79,767.00"
"Electricity, gas, steam and air conditioning supply","81,641.60"
"Water supply; sewerage, waste management and remediation activities","5,417.90"
Construction,"10,013.50"
Wholesale and retail trade; repair of motor vehicles and motorcycles,"12,150.50"
Transport and storage,"55,262.80"
Accommodation and food services,"3,234.30"
Information and communication,683.3
Financial and insurance activities,186.1
Real estate activities,864.9
"Professional, scientific and technical activities","1,538.10"
Administrative and support service activities,"3,094.10"
Public administration and defence; compulsory social security,"4,294.00"
Education,"2,190.90"
Human health and social work activities,"4,876.00"
"Arts, entertainment and recreation",790.4
Other service activities,876.2
Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,38.9
Consumer expenditure,"130,837.80"
